Column 1,Column 2,Type,Column 3,Column 4
2015/865,CD de Jean Andréo,Musique,EDITIONS MUSICALES LUGDIVINE,3500
2015/748,CD de Marvin Parks,Musique,EDIZIONI ISHTAR,12000
2015/721,CD de Voilaaa,Musique,"FAVORITE RECORDINGS/PUSHER 
DISTRIBUTION",9154
2015/433,CD de Lucas Arruda,Musique,"FAVORITE RECORDINGS/PUSHER 
DISTRIBUTION",9824
2015/666,CD de The One Armed Man,Musique,FLYING COW PROD,7400
2015/672,CD de The Amazing Keystone Big Band,Musique,"MUSICAL ORGANIZATION 
FOR ORIGINAL SHOWS",4350
2015/908,CD de La Femme,Musique,MUSIQUE EN SOCIETE,12000
2015/194,CD de Xanthoula Dakovanou et l'ensemble Anassa,Musique,MUSIQUES ET INTERPRETES,7400
2015/967,CD de Tony Hymas,Musique,NATO,2600
2015/573,CD d'Ursus Minor,Musique,NATO,4916
2015/36,"CD du trio Séguron, Delaunay, Seru",Musique,NATO,3300
2015/506,CD de Ballaké Sissoko & Vincent Segal,Musique,NO FORMAT,6900
2015/148,CD de Nicolas Vidal,Musique,NOUVELLE VERSION,2700
2015/307,CD de Everydayz & Phazz,Musique,NOWADAYS RECORDS,1900
